Effective date ,S&P GSCI Energy & Metals,Rate of rise or fall,Ln(B),Ln(今日)-Ln(昨日),5日标准差,5日年化标准差,,,
2013/1/7,493.96,0.225%,6.202454542,0.002249674,0.007342157,0.116553123,,,
2013/1/8,495.4,0.292%,6.205365517,0.002910975,0.00725986,0.115246707,,,
2013/1/9,494.76,-0.129%,6.204072797,-0.001292721,0.003407273,0.054088789,,,
2013/1/10,497.95,0.645%,6.21049967,0.006426874,0.00404788,0.064258098,,,
2013/1/11,493.62,-0.870%,6.20176599,-0.00873368,0.005751095,0.091295807,,,
2013/1/14,497.16,0.717%,6.208911906,0.007145915,0.006527851,0.103626428,,,
2013/1/15,493.73,-0.690%,6.201988809,-0.006923097,0.00734789,0.116644137,,,
2013/1/16,494.7,0.196%,6.203951518,0.001962709,0.007423351,0.117842037,,,
2013/1/17,499.99,1.069%,6.214588098,0.01063658,0.008498773,0.134913836,,,
2013/1/18,502.13,0.428%,6.21885905,0.004270952,0.006629271,0.105236413,,,
